title,author_name,year,rating,ratings
Seduce Me at Sunrise,Lisa Kleypas,2008,4.07,39570
Do You Want to Start a Scandal,Tessa Dare,2016,4.07,18892
Shadow of Night,Deborah Harkness,2012,4.07,219870
Angels' Blood,Nalini Singh,2009,4.07,87377
When Beauty Tamed the Beast,Eloisa James,2011,4.06,27254
The Rose & the Dagger,Renée Ahdieh,2016,4.06,85841
The Raven Boys,Maggie Stiefvater,2012,4.05,332644
Just Listen,Sarah Dessen,2006,4.05,243619
Uprooted,Naomi Novik,2015,4.05,209681
The Darkest Night,Gena Showalter,2008,4.05,82413
The Madness of Lord Ian Mackenzie,Jennifer Ashley,2009,4.05,35753
Again the Magic,Lisa Kleypas,2004,4.05,38636
P.S. I Like You,Kasie West,2016,4.05,54335
The Lady's Guide to Celestial Mechanics,Olivia Waite,2019,4.04,9945
Any Duchess Will Do,Tessa Dare,2013,4.04,23816
Any Duchess Will Do,Tessa Dare,2013,4.04,23816
Along for the Ride,Sarah Dessen,2009,4.04,200653
Pandemonium,Lauren Oliver,2012,4.04,231558
A Promise of Fire,Amanda Bouchet,2016,4.04,32350
One Good Earl Deserves a Lover,Sarah MacLean,2013,4.03,29368
Norwegian Wood,Haruki Murakami,1987,4.03,490161
A Rogue of One's Own,Evie Dunmore,2020,4.03,30188
The Unbecoming of Mara Dyer,Michelle Hodkin,2011,4.03,168341
Things You Save in a Fire,Katherine Center,2019,4.02,92697
Never Never,Colleen Hoover,2015,4.02,86589
Virgin River,Robyn Carr,2007,4.02,61829
Club Dead,Charlaine Harris,2003,4.01,230201
It Had to Be You,Susan Elizabeth Phillips,1994,4.01,64323
Royally Screwed,Emma Chase,2016,4.01,42073
Only When It's Us,Chloe Liese,2020,4.01,26179
Sugar Daddy,Lisa Kleypas,2007,4.01,42517
Crescendo,Becca Fitzpatrick,2010,4.0,307676
Broken Prince,Erin Watt,2016,4.0,85058
Forbidden,Tabitha Suzuma,2010,4.0,67402
Under the Never Sky,Veronica Rossi,2011,3.99,113454
Ella Enchanted,Gail Carson Levine,1997,3.99,403722
"Alex, Approximately",Jenn Bennett,2017,3.98,44969
Wicked and the Wallflower,Sarah MacLean,2018,3.98,17089
Rhapsodic,Laura Thalassa,2016,3.98,88341
The Wedding,Nicholas Sparks,2003,3.98,151092
Under Locke,Mariana Zapata,2014,3.98,70425
The Hook Up,Kristen Callihan,2014,3.97,53050
The Sky Is Everywhere,Jandy Nelson,2010,3.97,102011
These Violent Delights,Chloe Gong,2020,3.96,95723
The Best of Me,Nicholas Sparks,2010,3.96,161814
Beyond the Highland Mist,Karen Marie Moning,1999,3.96,69756
Living Dead in Dallas,Charlaine Harris,2002,3.96,245842
The Kiss of Deception,Mary E. Pearson,2014,3.96,116655
Just Like Heaven,Julia Quinn,2011,3.95,47800
The Rogue Not Taken,Sarah MacLean,2015,3.95,21806
Like Water for Chocolate,Laura Esquivel,1989,3.95,347670
Dark Witch,Nora Roberts,2013,3.95,60592
One Plus One,Jojo Moyes,2014,3.95,162582
We'll Always Have Summer,Jenny Han,2011,3.94,224027
Something About You,Julie James,2010,3.94,60302
We'll Always Have Summer,Jenny Han,2011,3.94,224027
"Love, Rosie",Cecelia Ahern,2004,3.94,122412
Marriage for One,Ella Maise,2019,3.93,60911
Love in the Time of Cholera,Gabriel García Márquez,1985,3.93,466520
Geekerella,Ashley Poston,2017,3.93,59104
The Distance Between Us,Kasie West,2013,3.92,75238
Pucked,Helena Hunting,2015,3.92,58892
Atonement,Ian McEwan,2001,3.92,485925
Pestilence,Laura Thalassa,2018,3.92,62447
Warm Bodies,Isaac Marion,2010,3.91,102702
The Upside of Unrequited,Becky Albertalli,2017,3.91,72060
The Heiress Effect,Courtney Milan,2013,3.91,14403
The Fill-In Boyfriend,Kasie West,2015,3.9,61519
RoomHate,Penelope Ward,2016,3.9,59673
These Broken Stars,Amie Kaufman,2013,3.9,68276
The Secret Diaries of Miss Miranda Cheever,Julia Quinn,2007,3.89,40314
The Shadows Between Us,Tricia Levenseller,2020,3.89,128699
Grave Mercy,Robin LaFevers,2012,3.89,104570
Ayesha at Last,Uzma Jalaluddin,2018,3.89,21810
Undercover Bromance,Lyssa Kay Adams,2020,3.89,37661
Portrait of a Scotsman,Evie Dunmore,2021,3.88,22701
Ten Ways to Be Adored When Landing a Lord,Sarah MacLean,2010,3.88,24842
The Iron King,Julie Kagawa,2010,3.88,207758
A Night Like This,Julia Quinn,2012,3.87,26914
Bound by Honor,Cora Reilly,2014,3.87,77006
Don't You Forget About Me,Mhairi McFarlane,2019,3.87,40746
By Your Side,Kasie West,2017,3.86,47582
Breathe,Abbi Glines,2011,3.85,82311
Torment,Lauren Kate,2010,3.85,226778
Siege and Storm,Leigh Bardugo,2013,3.85,486943
The Undomestic Goddess,Sophie Kinsella,2005,3.85,282087
The Governess Affair,Courtney Milan,2012,3.85,17261
To Love Jason Thorn,Ella Maise,2015,3.85,79607
American Royals,Katharine McGee,2019,3.84,94008
Nights in Rodanthe,Nicholas Sparks,2002,3.84,164417
Evvie Drake Starts Over,Linda  Holmes,2019,3.84,119436
Beastly,Alex Flinn,2007,3.83,174950
The Trouble with Hating You,Sajni Patel,2020,3.83,19351
Say Yes to the Marquess,Tessa Dare,2014,3.83,21080
My Killer Vacation,Tessa Bailey,2022,3.83,47186
The Bookish Life of Nina Hill,Abbi Waxman,2019,3.82,87372
How to Fail at Flirting,Denise  Williams,2020,3.82,24275
Grey,E.L. James,2015,3.81,167773
Maybe in Another Life,Taylor Jenkins Reid,2015,3.81,120415
The Royal We,Heather Cocks,2015,3.81,61552
The DUFF: Designated Ugly Fat Friend,Kody Keplinger,2010,3.81,190279
To Kill a Kingdom,Alexandra Christo,2018,3.8,136587
The Marriage Bargain,Jennifer Probst,2010,3.8,109486
Remember Me?,Sophie Kinsella,2008,3.8,240254
Tools of Engagement,Tessa Bailey,2020,3.79,36814
The Wedding Party,Jasmine Guillory,2019,3.78,44329
You've Reached Sam,Dustin Thao,2021,3.77,52535
The Two Lives of Lydia Bird,Josie Silver,2020,3.76,56854
Dash & Lily's Book of Dares,Rachel Cohn,2010,3.76,90591
Dial A for Aunties,Jesse Q. Sutanto,2021,3.76,58738
The Cheat Sheet,Sarah       Adams,2021,3.76,88916
A Night to Surrender,Tessa Dare,2011,3.75,24837
Something Wilder,Christina Lauren,2022,3.74,42112
Dating Dr. Dil,Nisha Sharma,2022,3.73,29881
We Were Liars,E. Lockhart,2014,3.73,919633
After We Collided,Anna Todd,2013,3.73,163476
"Will Grayson, Will Grayson",John Green,2010,3.72,378446
Stuck with You,Ali Hazelwood,2022,3.71,48423
Let it Snow,John Green,2008,3.71,136871
Below Zero,Ali Hazelwood,2022,3.71,38828
Love Lettering,Kate Clayborn,2019,3.7,39426
Weather Girl,Rachel Lynn Solomon,2022,3.69,25101
Confessions of a Shopaholic,Sophie Kinsella,2000,3.68,705542
Credence,Penelope Douglas,2020,3.68,102715
Ice Planet Barbarians,Ruby Dixon,2015,3.68,75411
The Roughest Draft,Emily Wibberley,2022,3.67,26355
Emergency Contact,Mary H.K. Choi,2018,3.67,38653
Something to Talk About,Meryl Wilsner,2020,3.66,19263
The Dating Plan,Sara Desai,2021,3.66,34929
The Upside of Falling,Alex Light,2020,3.65,63660
The Right Swipe,Alisha Rai,2019,3.65,21234
The Road Trip,Beth O'Leary,2021,3.61,63228
Evermore,Alyson Noel,2009,3.59,282408
Austenland,Shannon Hale,2007,3.55,86635
Crossed,Ally Condie,2011,3.52,234069
Royal Holiday,Jasmine Guillory,2019,3.5,35927
